commit,study,run_id,outcome,critic_consults,delegations,ledger_rows,mean_wall_ms,input_tokens,output_tokens,cost_usd,time_used,milestones_done,milestones_skipped,milestones_pending,diagnostics
b3799d3,agentic_modular_resonance,20260614T005949,UNGATED,8,9,2718,0.12,2097,297995,3.1634,00:54:17,1,2,0,"{""NO_SOURCE_NUDGE"": 2, ""ERROR_RETURN"": 1, ""MILESTONE_GATE"": 2, ""SCIENCE_DRIFT"": 5, ""CONSISTENCY_FLAG"": 2}"
b3799d3,agentic_black_box_8d,20260614T015434,GATED,2,3,1560,0.049,470,76306,0.7880,00:30:12,1,2,0,"{""MILESTONE_GATE"": 1}"
b3799d3,agentic_supercompressible_3d,20260614T022458,GATED,1,1,1000,,214,26605,0.2877,00:09:25,1,2,0,"{""NO_SOURCE_NUDGE"": 1, ""ERROR_RETURN"": 3, ""MILESTONE_GATE"": 1}"
98b4b22,agentic_black_box_8d,20260614T140632,UNGATED,3,1,2734,0.049,666,56098,0.8752,00:29:50,2,1,0,"{""MILESTONE_BLOCK"": 3, ""SCIENCE_DRIFT"": 1}"
a98e05d,agentic_modular_resonance,20260614T143639,GATED,4,6,4259,0.024,1660,132519,1.8663,01:01:55,2,1,0,"{""NO_SOURCE_NUDGE"": 1, ""MILESTONE_BLOCK"": 2, ""CONSISTENCY_FLAG"": 1}"
75042ab,agentic_black_box_8d,20260614T155937,UNGATED,3,7,1870,0.049,1568,154906,1.9492,00:34:20,3,0,0,"{""ERROR_RETURN"": 2, ""MILESTONE_BLOCK"": 1, ""RAW_ORACLE_NUDGE"": 3}"
75042ab,agentic_modular_resonance,20260614T163409,GATED,7,6,1613,0.033,1638,196480,2.2584,00:43:10,3,0,0,"{""NO_SOURCE_NUDGE"": 2, ""ERROR_RETURN"": 6, ""MILESTONE_BLOCK"": 2, ""SCIENCE_DRIFT"": 1, ""CONSISTENCY_FLAG"": 1}"
75042ab,agentic_supercompressible_3d,20260614T171829,GATED,1,4,1000,,850,81428,1.1023,00:41:36,3,0,0,"{""NO_SOURCE_NUDGE"": 1, ""ERROR_RETURN"": 2, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 2}"
2c34a5d,agentic_supercompressible_3d,20260614T184225,GATED,2,3,1000,,2149,132116,1.6554,00:16:57,2,1,0,"{""NO_SOURCE_NUDGE"": 1, ""ERROR_RETURN"": 5, ""MILESTONE_BLOCK"": 2, ""SCIENCE_DRIFT"": 3}"
4a28d84d,agentic_black_box_8d,20260615T205734,GATED,3,3,962,0.07,4352,89876,1.1392,00:44:28,3,0,0,"{""ERROR_RETURN"": 4, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 4}"
4a28d84d,agentic_black_box_8d,20260616T001759,UNGATED,4,2,500,0.073,4480,122374,1.5454,00:28:27,3,0,0,"{""ERROR_RETURN"": 6, ""MILESTONE_BLOCK"": 1, ""TypeError"": 1, ""SCIENCE_DRIFT"": 1}"
4a28d84d,agentic_black_box_3d,20260616T004655,UNGATED,0,2,,,824,91863,1.0940,00:23:31,3,0,0,"{""EOFError"": 1, ""ERROR_RETURN"": 1, ""MILESTONE_BLOCK"": 1}"
e87e6cf9,agentic_black_box_3d,20260616T102539,GATED,3,4,450,0.052,814,92871,1.1183,00:25:03,3,0,0,"{""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 2, ""ERROR_RETURN"": 3, ""REPRO_GATE_BOUNCE"": 1}"
0ea650cf,agentic_black_box_3d,20260616T131958,GATED,6,4,1355,0.075,2557,150711,1.9544,00:33:20,2,1,0,"{""ERROR_RETURN"": 2, ""MILESTONE_BLOCK"": 2, ""REPRO_GATE_BOUNCE"": 3, ""REPRO_GATE_GIVEUP"": 4}"
04e685ea,agentic_black_box_3d,20260616T155659,UNGATED,3,5,1390,0.078,1906,107127,1.2936,00:44:48,2,1,0,"{""ERROR_RETURN"": 2, ""MILESTONE_BLOCK"": 1, ""CONSISTENCY_FLAG"": 1}"
90c04577,agentic_black_box_3d,20260616T180305,GATED,2,5,552,0.061,994,106742,1.2026,00:17:47,3,0,0,"{""ERROR_RETURN"": 8, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 1}"
966eadac,agentic_black_box_3d,20260616T210833,FAILED,0,2,822,0.048,1191,128502,1.7507,00:17:35,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 2, ""RAW_ORACLE_NUDGE"": 1, ""REPRO_GATE_BOUNCE"": 6, ""REPRO_GATE_FAILED"": 1}"
dc586ba1,agentic_black_box_3d,20260616T215051,UNGATED,3,3,400,0.04,4916,87697,0.9758,00:25:09,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 1, ""SCIENCE_DRIFT"": 2, ""REPRO_GATE_BOUNCE"": 2}"
f4147beb,agentic_black_box_3d,20260617T004224,UNGATED,3,4,1523,0.077,1505,133484,1.7665,00:22:09,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 7, ""SCIENCE_DRIFT"": 6, ""CONSISTENCY_FLAG"": 1}"
2f3b3b1a,agentic_black_box_3d,20260617T012012,UNGATED,3,9,543,0.054,1502,111288,1.4514,00:22:03,3,0,0,"{""ERROR_RETURN"": 5, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 5, ""CONSISTENCY_FLAG"": 1}"
ff8a72c4,agentic_black_box_3d,20260617T015040,GATED,3,6,384,0.026,1054,97665,1.1484,00:32:26,3,0,0,"{""ERROR_RETURN"": 1, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 2}"
24d333ca,agentic_black_box_3d,20260617T023021,UNGATED,0,5,697,0.049,584,50884,0.6981,00:09:14,3,0,0,"{""MILESTONE_BLOCK"": 1}"
cc5cfeb0,agentic_black_box_3d,20260617T024631,GATED,2,6,390,0.061,835,104549,1.3302,00:21:02,3,0,0,"{""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 3}"
7ba08a3d,agentic_black_box_3d,20260617T122559,GATED,1,6,355,0.041,715,68961,0.9076,00:33:56,3,0,0,"{""MILESTONE_BLOCK"": 2, ""ERROR_RETURN"": 1}"
2684c400,agentic_black_box_3d,20260617T130405,GATED,4,7,250,0.075,1404,118027,1.5396,00:37:42,3,0,0,"{""ERROR_RETURN"": 5, ""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 12, ""REPRO_GATE_BOUNCE"": 1, ""CONSISTENCY_FLAG"": 1}"
64750527,agentic_black_box_3d,20260617T150737,GATED,2,4,1405,0.116,5273,68352,0.9641,00:40:29,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 1, ""CONSISTENCY_FLAG"": 1}"
4f2fc229,agentic_black_box_3d,20260618T190325,GATED,1,9,266,0.094,2033,188012,2.2696,00:20:45,3,0,0,"{""MILESTONE_BLOCK"": 1, ""RAW_ORACLE_NUDGE"": 1, ""MCP_REPORTED"": 1}"
4f2fc229,agentic_black_box_3d,20260618T230309,GATED,3,10,492,0.05,1457,133932,1.8755,00:40:07,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 3, ""SCIENCE_DRIFT"": 1}"
4f2fc229,agentic_black_box_8d,20260619T021348,GATED,4,5,1000,0.063,709,77943,1.1562,00:34:41,3,0,0,"{""MILESTONE_BLOCK"": 1, ""ERROR_RETURN"": 6, ""SCIENCE_DRIFT"": 4}"
4f2fc229,agentic_modular_resonance,20260619T021352,GATED,2,7,2700,0.251,1130,107892,1.3435,00:43:44,3,0,0,"{""MILESTONE_BLOCK"": 1, ""SCIENCE_DRIFT"": 6}"
